season,player_name,team,goals,played
2012-ii,Juan Fernando Caicedo,quindio,7,
2012-ii,Edwin Móvil,chico,6,
2012-ii,Christian Marrugo,tolima,6,
2012-ii,Marco Lazaga,patriotas,6,
2013-i,Wilder Medina,,12,
2013-i,Édison Toloza,,10,
2013-i,Víctor Cortés,,9,
2013-i,Freddy Montero,,8,
2013-i,Edwards Jiménez,,8,
2013-i,Charles Monsalvo,,8,
2013-i,Vladimir Marín,,7,
2013-i,Mauricio Mina,,7,
2013-i,Germán Cano,,7,
2013-i,Sergio Romero,,7,
2013-ii,Luis Carlos Ruiz,,16,
2013-ii,Dayro Moreno,,16,
2013-ii,Wilson Morelo,,11,
2013-ii,Sergio Herrera,,10,
2013-ii,Luis Páez,,9,
2013-ii,Julián Lalinde,,8,
2013-ii,Germán Cano,,8,
2013-ii,Yessy Mena,,8,
2013-ii,Wason Rentería,,7,
2013-ii,Sergio Romero,,7,
2014-i,Dayro Moreno,,13,
2014-i,Germán Cano,,11,
2014-i,Carlos Rentería,,10,
2014-i,Óscar Rodas,,10,
2014-i,Ayron del Valle,,9,
2014-i,Wilder Medina,,8,
2014-i,Yessy Mena,,8,
2014-i,José Izquierdo,,7,
2014-i,César Augusto Arias,,7,
2014-i,José Moreno,,7,
2014-ii,Germán Cano,,16,24
2014-ii,Juan Fernando Caicedo,,14,21
2014-ii,Fernando Uribe,,10,14
2014-ii,Wilson Morelo,,10,23
2014-ii,Hernán Hechalar,,9,21
2014-ii,Johan Arango,,9,21
2014-ii,Jorge Aguirre,,8,18
2014-ii,Yimmi Chará,,8,20
2014-ii,Carlos Rivas,,8,19
2014-ii,Édinson Palomino,,8,22
2015-i,Fernando Uribe,,15,23
2015-i,Harold Preciado,,13,26
2015-i,Marco Pérez,,9,17
2015-i,Jonathan Copete,,9,17
2015-i,Carlos Ibargüen,,9,18
2015-i,Rafael Santos Borré,,8,12
2015-i,Juan Fernando Caicedo,,8,19
2015-i,Robin Ramírez,,7,13
2015-i,Roberto Ovelar,,7,15
2015-i,Miguel Murillo,,7,16
2015-ii,Jefferson Duque,,15,24
2015-ii,Harold Preciado,,13,20
2015-ii,Juan Fernando Caicedo,,9,19
2015-ii,Roberto Ovelar,,9,21
2015-ii,Vladimir Hernández,,8,22
2015-ii,Jonathan Gómez,,8,19
2015-ii,Johan Arango,,7,20
2015-ii,Andrés Ibargüen,,7,23
2015-ii,Wilson Morelo,,6,10
2015-ii,Carlos Henao,,6,18
2016-i,Miguel Borja,,19,21
2016-i,Vladimir Hernández,,13,25
2016-i,Luis Páez,,12,20
2016-i,Sergio Romero,,12,20
2016-i,Leonardo Castro,,10,22
